               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.020365,            0.023945,           0.0031375,             0.99626,             0.99477,             0.99473,             0.91236,            0.011062,            0.010951,          0.00072621,             0.00388,             0.00388,             0.00388
                 138,            0.019172,            0.023598,           0.0030249,             0.99687,             0.99402,             0.99471,             0.91768,            0.011122,             0.01109,          0.00073229,            0.003835,            0.003835,            0.003835
                 139,            0.020422,            0.024682,           0.0035245,             0.99712,             0.99508,              0.9947,             0.91468,            0.010719,            0.010731,          0.00078963,             0.00379,             0.00379,             0.00379
                 140,            0.019971,            0.023476,            0.003142,             0.99587,             0.99651,             0.99453,              0.9178,            0.011069,            0.010962,          0.00079893,            0.003745,            0.003745,            0.003745
                 141,            0.020496,            0.024514,           0.0034319,              0.9959,             0.99614,             0.99443,             0.91276,            0.011171,            0.010876,          0.00073327,              0.0037,              0.0037,              0.0037
                 142,            0.019096,            0.021495,           0.0028479,             0.99556,               0.998,             0.99466,             0.91537,            0.011105,            0.010934,          0.00066728,            0.003655,            0.003655,            0.003655
                 143,             0.01935,            0.022386,           0.0029709,             0.99586,             0.99704,             0.99476,             0.91463,            0.010727,            0.010768,          0.00065877,             0.00361,             0.00361,             0.00361
                 144,            0.019486,            0.023932,           0.0032624,             0.99427,             0.99757,             0.99474,             0.91586,            0.010678,             0.01069,          0.00068537,            0.003565,            0.003565,            0.003565
                 145,            0.019745,             0.02447,           0.0034024,             0.98959,              0.9955,             0.99451,             0.92439,            0.010352,            0.010501,          0.00076627,             0.00352,             0.00352,             0.00352
                 146,              0.0184,            0.023784,           0.0031054,             0.99525,             0.99721,              0.9947,              0.9317,            0.010131,            0.010233,          0.00074283,            0.003475,            0.003475,            0.003475
                 147,            0.020131,            0.024291,           0.0031324,             0.99649,             0.99695,             0.99475,             0.91576,            0.010746,            0.010825,          0.00073216,             0.00343,             0.00343,             0.00343
                 148,            0.018079,            0.021944,           0.0028579,             0.99635,              0.9966,             0.99476,             0.92551,            0.010624,             0.01043,           0.0006921,            0.003385,            0.003385,            0.003385
                 149,            0.017861,            0.022018,           0.0026778,             0.99529,             0.99689,             0.99477,             0.92244,            0.010346,            0.010313,          0.00070575,             0.00334,             0.00334,             0.00334
                 150,            0.018806,            0.022922,           0.0030773,             0.99614,             0.99545,             0.99474,             0.92714,            0.010108,              0.0102,           0.0007497,            0.003295,            0.003295,            0.003295
                 151,            0.018487,             0.02331,           0.0031932,             0.99474,             0.99533,             0.99462,             0.92132,            0.010637,            0.010513,          0.00075204,             0.00325,             0.00325,             0.00325
                 152,            0.019641,            0.023139,           0.0030395,             0.99681,             0.99496,             0.99456,             0.93125,            0.010034,            0.010231,           0.0006808,            0.003205,            0.003205,            0.003205
                 153,            0.019018,            0.023531,           0.0030435,             0.99592,             0.99497,             0.99451,             0.93149,            0.010246,            0.010469,          0.00066793,             0.00316,             0.00316,             0.00316
                 154,            0.018995,            0.023326,           0.0031574,             0.99566,             0.99652,             0.99465,             0.93394,            0.010037,            0.010224,          0.00064215,            0.003115,            0.003115,            0.003115
                 155,            0.018425,            0.020825,           0.0029546,             0.99463,             0.99584,             0.99468,             0.93564,            0.009981,            0.010075,          0.00065435,             0.00307,             0.00307,             0.00307
                 156,             0.01909,            0.023082,           0.0029455,             0.99632,             0.99656,             0.99468,             0.93393,           0.0099579,            0.010027,          0.00064998,            0.003025,            0.003025,            0.003025
